('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         327008 function calls (325501 primitive calls) in 1.452 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       65    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/structures.py:46(__setitem__)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:77(readline)
       71    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.039    0.039 /usr/lib/python3.12/ssl.py:956(_create)
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:577(__init__)
       48    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:127(__next__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       54    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/utils.py:52(_has_surrogates)
       52    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/_policybase.py:319(header_fetch_parse)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/client.py:1136(putrequest)
       33    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:119(_coerce_args)
       10    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connection.py:355(putheader)
       11    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    1.186    0.593 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/adapters.py:613(send)
       45    0.000    0.000    0.109    0.002 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/models.py:816(generate)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:304(makefile)
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:316(__init__)
        1    0.000    0.000    0.308    0.308 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connection.py:669(connect)
       51    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
    43/13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:596(get_content_type)
        2    0.000    0.000    0.835    0.417 /usr/lib/python3.12/http/client.py:291(_read_status)
       22    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1680(extract_cookies)
      461    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        6    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/cookies.py:124(extract_cookies_to_jar)
        1    0.000    0.000    0.039    0.039 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connection.py:846(_ssl_wrap_socket_and_match_hostname)
        6    0.000    0.000    0.002    0.000 /usr/lib/python3.12/email/feedparser.py:176(_call_parse)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/poolmanager.py:95(_default_key_normalizer)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:100(push)
        7    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        2    0.000    0.000    0.001    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/adapters.py:359(build_response)
       46    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:1599(make_cookies)
       32    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/structures.py:51(__getitem__)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:205(_hostinfo)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:483(items)
       23    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:164(hostname)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.12/email/parser.py:56(parsestr)
        2    0.000    0.000    0.002    0.001 /usr/lib/python3.12/email/parser.py:41(parse)
      6/2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1200(sendall)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:52(__init__)
        1    0.000    0.000    0.001    0.001 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:916(read)
       16    0.000    0.000    0.000    0.000 /usr/lib/python3.12/enum.py:726(__call__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
        2    0.000    0.000    0.872    0.436 /usr/lib/python3.12/http/client.py:1384(getresponse)
       51    0.000    0.000    0.001    0.000 /usr/lib/python3.12/html/parser.py:123(set_cdata_mode)
        1    0.000    0.000    0.234    0.234 /usr/lib/python3.12/socket.py:946(getaddrinfo)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        3    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/util/url.py:367(parse_url)
       40    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:511(set_raw)
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:864(_raw_read)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1309(_real_close)
        2    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/_collections.py:240(__init__)
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/models.py:658(__init__)
        3    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/utils.py:765(should_bypass_proxies)
       12    0.000    0.000    0.000    0.000 /usr/lib/python3.12/queue.py:122(put)
        2    0.000    0.000    0.003    0.001 /usr/lib/python3.12/http/client.py:231(_parse_header_lines)
       10    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/structures.py:40(__init__)
       56    0.000    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:90(handle_startendtag)
        1    0.000    0.000    0.269    0.269 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/util/response.py:40(assert_header_parsing)
        1    0.000    0.000    0.136    0.136 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:122(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:221(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:137(__init__)
        6    0.000    0.000    0.000    0.000 {method 'read' of '_io.StringIO' objects}
        8    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:29(_splitparam)
       98    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/client.py:261(__init__)
       45    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       23    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/utils.py:204(get_netrc_auth)
       25    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:256(expanduser)
       72    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       13    0.000    0.000    0.000    0.000 /usr/lib/python3.12/queue.py:154(get)
       10    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/connection.py:404(<genexpr>)
       26    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       34    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:100(_intenum_converter)
        8    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/requests/cookies.py:35(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/message.py:243(get_payload)
        1    0.000    0.000    0.000    0.000 {built-in method today}
        2    0.000    0.000    0.000    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/urllib3/response.py:685(_init_length)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.any}
