('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         398126 function calls (394604 primitive calls) in 1.344 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2589    0.001    0.000    0.002    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
        5    0.001    0.000    0.205    0.041 {method 'join' of 'bytes' objects}
      275    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_events.py:299(__init__)
     3158    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     5961    0.001    0.000    0.004    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
      592    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
      153    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      279    0.001    0.000    0.003    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/h11/_state.py:275(process_event)
     2710    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/element.py:1371(is_empty_element)
      317    0.001    0.000    0.941    0.003 /usr/lib/python3.12/ssl.py:1226(recv)
     3529    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      317    0.001    0.000    0.940    0.003 /usr/lib/python3.12/ssl.py:1095(read)
      322    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
     2708    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
     1828    0.001    0.000    0.001    0.000 /home/rvmzs/Рабочий стол/21_school/DS_Bootcamp/DS_Bootcamp.Day03-1/src/ex04/env04/lib/python3.12/site-packages/httpcore/_exceptions.py:7(map_exceptions)
      875    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
